market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,1d,score_intensity,Risk-On,59,0.015571,-0.004137,49.152542,-0.301232,-2.004123,0.849392,0.018332,0.057377,-0.041806,-0.370981,0.710651
sp500,S&P 500,1d,score_intensity,Mild Positive,18,-0.717095,0.155409,55.555556,-1.10192,-11.98405,3.107844,-0.230737,0.057377,-0.774473,-1.100252,0.271222
sp500,S&P 500,1d,score_intensity,Extreme Positive,34,0.411672,0.088361,58.823529,-0.344637,-2.140012,1.689766,0.243627,0.057377,0.354295,1.297936,0.194309
sp500,S&P 500,2d,regime,Mixed,316,0.174956,0.243581,59.177215,-0.545078,-11.98405,1.362859,0.128374,0.162524,0.012432,0.262704,0.792779
sp500,S&P 500,2d,regime,Caution,21,0.143686,0.324299,57.142857,-0.730153,-3.65384,1.711534,0.083952,0.162524,-0.018837,-0.052071,0.958472
sp500,S&P 500,2d,regime,Risk-On,93,0.124534,0.022829,52.688172,-0.651828,-4.800735,1.732577,0.071878,0.162524,-0.03799,-0.248789,0.803524
sp500,S&P 500,2d,score_sign,Negative,132,0.149708,0.201256,56.818182,-0.516007,-3.65384,1.285882,0.116424,0.162524,-0.012816,-0.129244,0.897165
sp500,S&P 500,2d,score_sign,Zero,187,0.254063,0.295163,62.032086,-0.505948,-7.596968,1.353112,0.187762,0.162524,0.091539,1.157088,0.247236
sp500,S&P 500,2d,score_sign,Positive,111,0.02355,0.007051,51.351351,-0.770026,-11.98405,1.806886,0.013033,0.162524,-0.138974,-1.002569,0.316069
sp500,S&P 500,2d,score_intensity,Mild Negative,111,0.150847,0.15215,56.756757,-0.475492,-3.433676,1.198559,0.125857,0.162524,-0.011677,-0.110059,0.912362
